horse,tooth,repeated,previousdepth,extracted,hexarinse,treatment,improvement,days,truncated
id37,308/9,1,30,0,0,DW,16,41,0
id37,309/10,1,11,0,0,DW,2,41,0
id37,310/11,1,30,0,0,PVS,26,41,0
id37,308/9,2,14,0,0,DW,5,85,0
id37,309/10,2,9,0,0,DW,1,85,0
id37,310/11,2,4,0,0,None,-4,85,0
id38,306/7,1,6,0,0,M,6,100,1
id38,307/8,1,8,0,0,M,2,100,0
id38,308/9,1,9,0,0,M,1,100,0
id38,309/10,1,10,0,0,M,-2,100,0
id38,408/9,1,8,0,0,M,2,100,0
id38,306/7,2,0,0,0,None,-4,48,0
id38,307/8,2,6,0,0,M,2,48,0
id38,308/9,2,8,0,0,M,8,48,1
id38,309/10,2,12,0,0,M,12,48,1
id38,408/9,2,6,0,0,M,1,48,0
id39,306/7,1,5,0,1,M,1,224,0
id39,407/8,1,7,0,1,M,3,224,0
id39,410/11,1,6,0,1,M,2,224,0
id39,308/9,1,0,0,1,None,-6,224,0
id39,310/11,1,0,0,1,None,-5,224,0
id39,409/10,1,0,0,1,None,-5,224,0
id40,309/10,1,8,0,0,M,3,163,0
id40,310/11,1,6,0,0,M,1,163,0
id40,308/9,1,0,0,0,None,-5,163,0
id41,307/8,1,6,0,1,M,2,70,0
id41,308/9,1,10,0,1,PVS,2,70,0
id41,309/10,1,8,0,1,M,2,70,0
id41,310/11,1,14,0,1,PVS,8,70,0
id41,407/8,1,6,0,1,M,2,70,0
id41,408/9,1,7,0,1,M,2,70,0
id41,409/10,1,8,0,1,PVS,4,70,0
id41,410/11,1,11,0,1,PVS,5,70,0
id41,307/8,2,4,0,1,CL,-3,169,0
id41,308/9,2,8,0,1,PVS,3,169,0
id41,309/10,2,6,0,1,CL,1,169,0
id41,310/11,2,6,0,1,PVS,0,169,0
id41,407/8,2,4,0,1,CL,-1,169,0
id41,408/9,2,5,0,1,CL,0,169,0
id41,409/10,2,4,0,1,CL,4,169,1
id41,410/11,2,6,0,1,PVS,-1,169,0
id42,707/8,1,5,0,1,PVS,5,84,1
id42,708/9,1,6,0,1,PVS,2,84,0
id42,807/8,1,10,0,1,PVS,10,84,1
id42,808/9,1,6,0,1,PVS,2,84,0
id42,507/8,1,0,0,1,None,0,84,1
id42,508/9,1,0,0,1,None,0,84,1
id42,409/10,1,0,0,1,None,0,84,1
id42,410/11,1,0,0,0,None,0,84,1
id42,310/11,1,0,0,0,None,0,84,1
id42,707/8,2,0,0,1,None,0,168,1
id42,708/9,2,4,0,1,CL,4,168,1
id42,807/8,2,0,0,1,None,0,168,1
id42,808/9,2,4,0,1,CL,4,168,1
id42,507/8,2,0,0,1,None,-4,168,0
id42,508/9,2,0,0,1,None,-4,168,0
id42,409/10,2,0,0,1,None,-4,168,0
id42,410/11,2,0,0,0,None,0,168,1
id42,310/11,2,0,0,0,None,0,168,1
id42,707/8,3,0,0,1,None,0,182,1
id42,708/9,3,0,0,1,None,0,182,1
id42,807/8,3,0,0,1,None,0,182,1
id42,808/9,3,0,0,1,None,0,182,1
id42,507/8,3,4,0,1,CL,4,182,1
id42,508/9,3,4,0,1,CL,4,182,1
id42,409/10,3,4,0,1,CL,0,182,0
id42,410/11,3,0,0,0,None,-5,182,0
id42,310/11,3,0,0,0,None,-4,182,0
id43,206A/7,1,14,0,0,DW,0,118,0
id44,108/9,1,5,0,0,M,0,87,0
id44,109/10,1,5,0,0,M,0,87,0
id44,208/9,1,10,0,0,PVS,3,87,0
id44,209/10,1,12,0,0,PVS,5,87,0
id44,308/9,1,8,0,0,M,3,87,0
id44,407/8,1,5,0,0,M,1,87,0
id44,408/9,1,4,0,0,CL,4,87,1
id44,409/10,1,4,0,0,CL,4,87,1
id44,410/11,1,6,0,0,M,6,87,1
id44,110/11,1,0,0,0,None,-5,87,0
id45,307/8,1,8,0,1,M,0,111,0
id45,308/9,1,8,0,1,M,0,111,0
id45,309/10,1,10,0,1,M,4,111,0
id45,407/8,1,5,0,1,M,1,111,0
id45,409/10,1,5,0,1,M,0,111,0
id45,410/11,1,5,0,1,M,0,111,0
id45,310/11,1,4,0,1,CL,-2,111,0
id46,110/11,1,4,0,0,PVS,4,112,1
id46,210/11,1,8,0,0,PVS,4,112,0
id46,410/11,1,6,0,0,PVS,2,112,0
id47,408/9,1,9,0,0,M,5,112,0
